Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1755030081,2025-08-12T20:21:21Z,RYR452Y,"45.50806,12.339053",0,0,222
1755030387,2025-08-12T20:26:27Z,RYR452Y,"45.508198,12.339254",0,2,219
1755030417,2025-08-12T20:26:57Z,RYR452Y,"45.508385,12.339456",0,2,171
1755030442,2025-08-12T20:27:22Z,RYR452Y,"45.508598,12.339396",0,1,137
1755030804,2025-08-12T20:33:24Z,RYR452Y,"45.50843,12.339724",0,11,129
1755030811,2025-08-12T20:33:31Z,RYR452Y,"45.508198,12.340197",0,15,123
1755030819,2025-08-12T20:33:39Z,RYR452Y,"45.507889,12.340785",0,15,126
1755030822,2025-08-12T20:33:42Z,RYR452Y,"45.507717,12.341146",0,16,118
1755030824,2025-08-12T20:33:44Z,RYR452Y,"45.507637,12.341374",0,16,118
1755030830,2025-08-12T20:33:50Z,RYR452Y,"45.507339,12.341897",0,17,132
1755030834,2025-08-12T20:33:54Z,RYR452Y,"45.507118,12.342252",0,18,132
1755030838,2025-08-12T20:33:58Z,RYR452Y,"45.506886,12.342621",0,19,132
1755030841,2025-08-12T20:34:01Z,RYR452Y,"45.50671,12.342878",0,19,132
1755030844,2025-08-12T20:34:04Z,RYR452Y,"45.506523,12.343157",0,15,137
1755030848,2025-08-12T20:34:08Z,RYR452Y,"45.506298,12.343303",0,15,160
1755030852,2025-08-12T20:34:12Z,RYR452Y,"45.506001,12.343357",0,16,177
1755030856,2025-08-12T20:34:16Z,RYR452Y,"45.505733,12.343357",0,17,177
1755030860,2025-08-12T20:34:20Z,RYR452Y,"45.505394,12.34339",0,18,177
1755030862,2025-08-12T20:34:22Z,RYR452Y,"45.505173,12.343408",0,19,177
1755030864,2025-08-12T20:34:24Z,RYR452Y,"45.50494,12.343425",0,20,177
1755030867,2025-08-12T20:34:27Z,RYR452Y,"45.504707,12.343441",0,21,177
1755030870,2025-08-12T20:34:30Z,RYR452Y,"45.504375,12.343467",0,22,177
1755030873,2025-08-12T20:34:33Z,RYR452Y,"45.504116,12.343474",0,22,177
1755030875,2025-08-12T20:34:35Z,RYR452Y,"45.503895,12.343499",0,21,177
1755030882,2025-08-12T20:34:42Z,RYR452Y,"45.503162,12.343532",0,21,177
1755030889,2025-08-12T20:34:49Z,RYR452Y,"45.502495,12.343575",0,19,177
1755030897,2025-08-12T20:34:57Z,RYR452Y,"45.501835,12.343614",0,17,180
1755030901,2025-08-12T20:35:01Z,RYR452Y,"45.501587,12.343592",0,16,188
1755030904,2025-08-12T20:35:04Z,RYR452Y,"45.50132,12.343417",0,16,208
1755030909,2025-08-12T20:35:09Z,RYR452Y,"45.501053,12.34314",0,15,219
1755030912,2025-08-12T20:35:12Z,RYR452Y,"45.500877,12.342922",0,16,222
1755030915,2025-08-12T20:35:15Z,RYR452Y,"45.500694,12.34267",0,17,222
1755030918,2025-08-12T20:35:18Z,RYR452Y,"45.500519,12.342453",0,18,222
1755030921,2025-08-12T20:35:21Z,RYR452Y,"45.500267,12.342142",0,21,222
1755030924,2025-08-12T20:35:24Z,RYR452Y,"45.500065,12.341866",0,22,222
1755030927,2025-08-12T20:35:27Z,RYR452Y,"45.499855,12.341599",0,24,222
1755030929,2025-08-12T20:35:29Z,RYR452Y,"45.499634,12.341314",0,25,222
1755030938,2025-08-12T20:35:38Z,RYR452Y,"45.498825,12.340279",0,27,222
1755030944,2025-08-12T20:35:44Z,RYR452Y,"45.498241,12.339526",0,27,222
1755030952,2025-08-12T20:35:52Z,RYR452Y,"45.497562,12.338652",0,22,222
1755030960,2025-08-12T20:36:00Z,RYR452Y,"45.49699,12.337932",0,21,222
1755030967,2025-08-12T20:36:07Z,RYR452Y,"45.496479,12.337278",0,19,222
1755030974,2025-08-12T20:36:14Z,RYR452Y,"45.496082,12.336759",0,12,222
1755030982,2025-08-12T20:36:22Z,RYR452Y,"45.49585,12.336457",0,8,222
1755030989,2025-08-12T20:36:29Z,RYR452Y,"45.495667,12.336206",0,7,225
1755031002,2025-08-12T20:36:42Z,RYR452Y,"45.495495,12.335979",0,3,222
1755031020,2025-08-12T20:37:00Z,RYR452Y,"45.495293,12.335872",0,2,191
1755031049,2025-08-12T20:37:29Z,RYR452Y,"45.495094,12.336093",0,2,135
1755031128,2025-08-12T20:38:48Z,RYR452Y,"45.494946,12.336306",0,5,135
1755031135,2025-08-12T20:38:55Z,RYR452Y,"45.49477,12.336575",0,10,132
1755031143,2025-08-12T20:39:03Z,RYR452Y,"45.494534,12.336944",0,13,132
1755031150,2025-08-12T20:39:10Z,RYR452Y,"45.494198,12.337479",0,11,129
1755031154,2025-08-12T20:39:14Z,RYR452Y,"45.494141,12.33768",0,8,109
1755031160,2025-08-12T20:39:20Z,RYR452Y,"45.494259,12.337892",0,5,47
1755031182,2025-08-12T20:39:42Z,RYR452Y,"45.494488,12.338182",0,18,42
1755031184,2025-08-12T20:39:44Z,RYR452Y,"45.494686,12.338433",0,28,42
1755031186,2025-08-12T20:39:46Z,RYR452Y,"45.494946,12.338775",0,39,42
1755031187,2025-08-12T20:39:47Z,RYR452Y,"45.495152,12.339037",0,44,42
1755031188,2025-08-12T20:39:48Z,RYR452Y,"45.495323,12.339249",0,49,42
1755031191,2025-08-12T20:39:51Z,RYR452Y,"45.495781,12.339857",0,63,42
1755031198,2025-08-12T20:39:58Z,RYR452Y,"45.497784,12.342402",0,95,42
1755031206,2025-08-12T20:40:06Z,RYR452Y,"45.501041,12.346623",0,128,42
1755031215,2025-08-12T20:40:15Z,RYR452Y,"45.5056,12.352491",0,159,42
1755031222,2025-08-12T20:40:22Z,RYR452Y,"45.50956,12.357677",150,162,43
1755031229,2025-08-12T20:40:29Z,RYR452Y,"45.513519,12.362835",475,159,42
1755031236,2025-08-12T20:40:36Z,RYR452Y,"45.516823,12.367189",775,157,43
1755031246,2025-08-12T20:40:46Z,RYR452Y,"45.521988,12.374268",1200,155,45
1755031252,2025-08-12T20:40:52Z,RYR452Y,"45.525341,12.37918",1425,159,46
1755031259,2025-08-12T20:40:59Z,RYR452Y,"45.529129,12.384927",1575,171,47
1755031262,2025-08-12T20:41:02Z,RYR452Y,"45.530273,12.386758",1600,174,49
1755031264,2025-08-12T20:41:04Z,RYR452Y,"45.531601,12.389177",1650,177,52
1755031266,2025-08-12T20:41:06Z,RYR452Y,"45.532513,12.391105",1675,179,56
1755031268,2025-08-12T20:41:08Z,RYR452Y,"45.53334,12.393167",1725,181,61
1755031270,2025-08-12T20:41:10Z,RYR452Y,"45.534256,12.395979",1775,182,65
1755031273,2025-08-12T20:41:13Z,RYR452Y,"45.535027,12.399277",1825,186,74
1755031276,2025-08-12T20:41:16Z,RYR452Y,"45.535446,12.401668",1875,189,77
1755031278,2025-08-12T20:41:18Z,RYR452Y,"45.535862,12.404971",1925,190,81
1755031280,2025-08-12T20:41:20Z,RYR452Y,"45.535995,12.407357",1975,193,85
1755031282,2025-08-12T20:41:22Z,RYR452Y,"45.536003,12.41013",2025,196,92
1755031285,2025-08-12T20:41:25Z,RYR452Y,"45.535816,12.413479",2100,197,94
1755031287,2025-08-12T20:41:27Z,RYR452Y,"45.535538,12.416024",2150,197,98
1755031290,2025-08-12T20:41:30Z,RYR452Y,"45.534885,12.42058",2275,200,102
1755031292,2025-08-12T20:41:32Z,RYR452Y,"45.534485,12.423248",2350,200,102
1755031294,2025-08-12T20:41:34Z,RYR452Y,"45.534164,12.425603",2400,201,101
1755031296,2025-08-12T20:41:36Z,RYR452Y,"45.533676,12.428953",2500,201,101
1755031299,2025-08-12T20:41:39Z,RYR452Y,"45.53334,12.431749",2575,202,99
1755031302,2025-08-12T20:41:42Z,RYR452Y,"45.532928,12.435281",2675,202,99
1755031304,2025-08-12T20:41:44Z,RYR452Y,"45.532562,12.438224",2750,202,99
1755031306,2025-08-12T20:41:46Z,RYR452Y,"45.53223,12.441481",2850,203,98
1755031309,2025-08-12T20:41:49Z,RYR452Y,"45.531906,12.444294",2925,203,98
1755031311,2025-08-12T20:41:51Z,RYR452Y,"45.531673,12.446974",3000,204,98
1755031318,2025-08-12T20:41:58Z,RYR452Y,"45.530602,12.45796",3250,207,97
1755031321,2025-08-12T20:42:01Z,RYR452Y,"45.530231,12.46198",3350,209,97
1755031330,2025-08-12T20:42:10Z,RYR452Y,"45.529251,12.472966",3600,212,97
1755031336,2025-08-12T20:42:16Z,RYR452Y,"45.528461,12.482411",3800,215,97
1755031343,2025-08-12T20:42:23Z,RYR452Y,"45.52771,12.491521",4025,217,96
1755031350,2025-08-12T20:42:30Z,RYR452Y,"45.526794,12.502114",4275,219,97
1755031356,2025-08-12T20:42:36Z,RYR452Y,"45.525761,12.510145",4400,224,103
1755031358,2025-08-12T20:42:38Z,RYR452Y,"45.525249,12.512892",4450,226,107
1755031360,2025-08-12T20:42:40Z,RYR452Y,"45.52441,12.516108",4500,228,111
1755031362,2025-08-12T20:42:42Z,RYR452Y,"45.523453,12.519052",4525,231,116
1755031364,2025-08-12T20:42:44Z,RYR452Y,"45.522308,12.521864",4550,234,124
1755031367,2025-08-12T20:42:47Z,RYR452Y,"45.520313,12.525486",4625,236,132
1755031371,2025-08-12T20:42:51Z,RYR452Y,"45.517548,12.529188",4725,237,138
1755031373,2025-08-12T20:42:53Z,RYR452Y,"45.515396,12.531411",4800,237,145
1755031376,2025-08-12T20:42:56Z,RYR452Y,"45.512466,12.533831",4900,239,151
1755031378,2025-08-12T20:42:58Z,RYR452Y,"45.510544,12.535073",4975,239,156
1755031380,2025-08-12T20:43:00Z,RYR452Y,"45.507977,12.536472",5075,240,160
1755031382,2025-08-12T20:43:02Z,RYR452Y,"45.505836,12.537276",5150,240,166
1755031385,2025-08-12T20:43:05Z,RYR452Y,"45.503632,12.537886",5225,241,170
1755031388,2025-08-12T20:43:08Z,RYR452Y,"45.499741,12.538605",5350,242,175
1755031390,2025-08-12T20:43:10Z,RYR452Y,"45.49791,12.538735",5425,243,177
1755031392,2025-08-12T20:43:12Z,RYR452Y,"45.4953,12.538866",5500,244,178
1755031394,2025-08-12T20:43:14Z,RYR452Y,"45.49229,12.539018",5600,245,178
1755031396,2025-08-12T20:43:16Z,RYR452Y,"45.490036,12.539128",5675,245,177
1755031399,2025-08-12T20:43:19Z,RYR452Y,"45.48782,12.539286",5750,246,175
1755031401,2025-08-12T20:43:21Z,RYR452Y,"45.485447,12.53962",5825,246,173
1755031403,2025-08-12T20:43:23Z,RYR452Y,"45.482933,12.540156",5900,248,170
1755031405,2025-08-12T20:43:25Z,RYR452Y,"45.480286,12.540828",6000,247,168
1755031415,2025-08-12T20:43:35Z,RYR452Y,"45.470169,12.545405",6275,255,157
1755031418,2025-08-12T20:43:38Z,RYR452Y,"45.46637,12.547956",6325,258,153
1755031421,2025-08-12T20:43:41Z,RYR452Y,"45.463303,12.550376",6375,262,149
1755031424,2025-08-12T20:43:44Z,RYR452Y,"45.459934,12.553353",6425,264,147
1755031426,2025-08-12T20:43:46Z,RYR452Y,"45.457794,12.555296",6475,267,146
1755031428,2025-08-12T20:43:48Z,RYR452Y,"45.455513,12.55744",6525,270,146
1755031431,2025-08-12T20:43:51Z,RYR452Y,"45.453003,12.559793",6575,272,147
1755031433,2025-08-12T20:43:53Z,RYR452Y,"45.450851,12.561754",6600,275,147
1755031435,2025-08-12T20:43:55Z,RYR452Y,"45.448624,12.563804",6650,277,147
1755031437,2025-08-12T20:43:57Z,RYR452Y,"45.445679,12.566463",6725,278,147
1755031439,2025-08-12T20:43:59Z,RYR452Y,"45.443665,12.568294",6775,279,147
1755031442,2025-08-12T20:44:02Z,RYR452Y,"45.440689,12.570975",6900,279,147
1755031444,2025-08-12T20:44:04Z,RYR452Y,"45.438217,12.573133",7000,279,147
1755031460,2025-08-12T20:44:20Z,RYR452Y,"45.421326,12.58824",7600,283,147
1755031473,2025-08-12T20:44:33Z,RYR452Y,"45.406082,12.601776",7850,297,148
1755031487,2025-08-12T20:44:47Z,RYR452Y,"45.389374,12.616425",8100,311,148
1755031500,2025-08-12T20:45:00Z,RYR452Y,"45.372803,12.630942",8325,323,148
1755031515,2025-08-12T20:45:15Z,RYR452Y,"45.35376,12.647552",8575,337,148
1755031528,2025-08-12T20:45:28Z,RYR452Y,"45.336044,12.663051",8775,348,148
1755031543,2025-08-12T20:45:43Z,RYR452Y,"45.315018,12.681706",9025,361,147
1755031558,2025-08-12T20:45:58Z,RYR452Y,"45.29393,12.70053",9300,371,147
1755031570,2025-08-12T20:46:10Z,RYR452Y,"45.275215,12.717211",9575,377,147
1755031583,2025-08-12T20:46:23Z,RYR452Y,"45.25655,12.733757",10000,379,147
1755031597,2025-08-12T20:46:37Z,RYR452Y,"45.235428,12.752315",10400,382,148
1755031610,2025-08-12T20:46:50Z,RYR452Y,"45.21619,12.769128",10750,386,148
1755031625,2025-08-12T20:47:05Z,RYR452Y,"45.193176,12.789132",11200,390,148
1755031638,2025-08-12T20:47:18Z,RYR452Y,"45.172661,12.806911",11550,395,148
1755031653,2025-08-12T20:47:33Z,RYR452Y,"45.149506,12.827062",11900,400,148
1755031667,2025-08-12T20:47:47Z,RYR452Y,"45.126297,12.847305",12375,402,148
1755031699,2025-08-12T20:48:19Z,RYR452Y,"45.075714,12.891475",13600,400,148
1755031732,2025-08-12T20:48:52Z,RYR452Y,"45.02523,12.935464",14850,398,148
1755031763,2025-08-12T20:49:23Z,RYR452Y,"44.975647,12.97845",15900,402,148
1755031796,2025-08-12T20:49:56Z,RYR452Y,"44.922539,13.024359",16825,410,148
1755031828,2025-08-12T20:50:28Z,RYR452Y,"44.870956,13.06884",17675,418,148
1755031859,2025-08-12T20:50:59Z,RYR452Y,"44.81826,13.114192",18550,424,148
1755031892,2025-08-12T20:51:32Z,RYR452Y,"44.763565,13.161294",19450,430,148
1755031926,2025-08-12T20:52:06Z,RYR452Y,"44.705612,13.21119",20425,434,148
1755031956,2025-08-12T20:52:36Z,RYR452Y,"44.654209,13.255005",21250,440,148
1755031989,2025-08-12T20:53:09Z,RYR452Y,"44.59671,13.304051",22200,444,148
1755032019,2025-08-12T20:53:39Z,RYR452Y,"44.542995,13.349862",23075,447,148
1755032053,2025-08-12T20:54:13Z,RYR452Y,"44.483963,13.400116",24025,449,148
1755032084,2025-08-12T20:54:44Z,RYR452Y,"44.427082,13.448471",24925,451,148
1755032116,2025-08-12T20:55:16Z,RYR452Y,"44.369869,13.496972",25725,456,148
1755032148,2025-08-12T20:55:48Z,RYR452Y,"44.312576,13.545293",26475,459,148
1755032180,2025-08-12T20:56:20Z,RYR452Y,"44.253571,13.595057",27575,454,148
1755032212,2025-08-12T20:56:52Z,RYR452Y,"44.197857,13.641804",28475,454,148
1755032243,2025-08-12T20:57:23Z,RYR452Y,"44.141949,13.688704",29300,453,148
1755032274,2025-08-12T20:57:54Z,RYR452Y,"44.0858,13.735785",30150,451,148
1755032307,2025-08-12T20:58:27Z,RYR452Y,"44.026966,13.784965",31025,450,149
1755032340,2025-08-12T20:59:00Z,RYR452Y,"43.968292,13.833831",32050,444,149
1755032371,2025-08-12T20:59:31Z,RYR452Y,"43.914028,13.878937",32975,440,148
1755032402,2025-08-12T21:00:02Z,RYR452Y,"43.85947,13.92419",33825,435,148
1755032433,2025-08-12T21:00:33Z,RYR452Y,"43.807159,13.967392",34625,429,149
1755032464,2025-08-12T21:01:04Z,RYR452Y,"43.754356,14.010903",35025,427,149
